"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJESTARTSCREEN_COND_PERK","Requires %2 perk level %1","Requires %2 perk level %1","Vyžaduje %2 perk úroveň %1","Benötigt %2 Vorteilsstufe %1","Требуется %1 уровень перка %2","Wymaga %2 perk level %1","%2 perk szint szükséges: %1","Richiede %2 perk livello %1","Requiere %2 nivel de beneficio %1","Nécessite %1 le niveau d'avantage %2","需要 %2 perk等级 %1","%2 特典レベル %1 が必要です","Requer %2 perk nível %1","需要 %2 perk等级 %1",
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_LOADING","Loading...","Loading...","Načítání...","Laden...","Загрузка...","Ładowanie...","Betöltés...","Caricamento...","Cargando...","Chargement...","装货。..","荷を積む。..","A carregar...","装货。..",
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_ALERT","NOT AVAILABLE","NOT AVAILABLE","DOSTUPNÝ","NICHT VERFÜGBAR","НЕДОСТУПНО","NIEDOSTĘPNE","NEM ELÉRHETŐ","NON DISPONIBILE","NO DISPONIBLE","NON DISPONIBLE","暂时没有","利用できません","NÃO DISPONÍVEL","暂时没有",
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_TITLE1","LOADOUTS LIST","LOADOUTS LIST","SEZNAM SAD VYBAVENÍ","LISTE DER AUSRÜSTUNGSSETS","СПИСОК НАБОРОВ СНАРЯЖЕНИЯ","LISTA ZESTAWÓW WYPOSAŻENIA","A BERENDEZÉSKÉSZLETEK LISTÁJA","ELENCO DEI SET DI ATTREZZATURE","LISTA DE CONJUNTOS DE EQUIPOS","LISTE DES ENSEMBLES D'ÉQUIPEMENTS","设备组一览表","機器セットのリスト","LISTA DE CONJUNTOS DE EQUIPAMENTOS","设备组一览表",
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_TITLE2","SELECTED LOADOUT","SELECTED LOADOUT","VYBRANÉ ZATÍŽENÍ","AUSGEWÄHLTES LOADOUT","ВЫБРАННОЕ СНАРЯЖЕНИЕ","WYBRANE WYPOSAŻENIE","KIVÁLASZTOTT TERHELÉS","LOADOUT SELEZIONATO","EQUIPAMIENTO SELECCIONADO","CHARGEMENT SÉLECTIONNÉ","选定的装载量","選択したロードアウト","CARGA SELECCIONADA","选定的装载量",
"STR_TERJESTARTSCREEN_PAGE_LOADOUT_TITLE3","OPTIONS LIST","OPTIONS LIST","SEZNAM MOŽNOSTÍ","OPTIONSLISTE","СПИСОК ОПЦИЙ","LISTA OPCJI","OPCIÓK LISTÁJA","ELENCO OPZIONI","LISTA DE OPCIONES","LISTE DES OPTIONS","选项列表","オプションリスト","LISTA DE OPÇÕES","选项列表",
"STR_TERJESTARTSCREEN_PAGE_SKILLS_TITLE","CHOOSE YOUR STARTING SKILLS","CHOOSE YOUR STARTING SKILLS","VYBERTE SI STARTOVACÍ DOVEDNOSTI","WÄHLEN SIE STARTFÄHIGKEITEN","ВЫБЕРИТЕ СТАРТОВЫЕ НАВЫКИ","WYBIERZ UMIEJĘTNOŚCI STARTOWE","VÁLASSZA KI A KEZDŐ KÉSZSÉGEKET","SCEGLI LE ABILITÀ INIZIALI","ELIJA HABILIDADES INICIALES","CHOISISSEZ VOS COMPÉTENCES DE DÉPART","选择你的起始技能","あなたの開始スキルを選択してください","ESCOLHA SUAS HABILIDADES INICIAIS","选择你的起始技能",
"STR_TERJESTARTSCREEN_PAGE_SKILLS_INFO","Points available:","Points available:","Dostupné body:","Verfügbare Punkte:","Доступные очки:","Punkty dostępne:","Elérhető pontok:","Punti disponibili:","Puntos disponibles:","Points disponibles:","可用积分:","利用可能なポイント:","Pontos disponíveis:","可用积分:",
"STR_TERJESTARTSCREEN_PAGE_MAP_ALERT","NOT AVAILABLE","NOT AVAILABLE","DOSTUPNÝ","NICHT VERFÜGBAR","НЕДОСТУПНО","NIEDOSTĘPNE","NEM ELÉRHETŐ","NON DISPONIBILE","NO DISPONIBLE","NON DISPONIBLE","暂时没有","利用できません","NÃO DISPONÍVEL","暂时没有",
"STR_TERJESTARTSCREEN_PAGE_MAP_TITLE","CHOOSE YOUR RESPAWN POINT","CHOOSE YOUR RESPAWN POINT","VYBERTE SI SVŮJ RESPAWN BOD","WÄHLE DEINEN RESPAWNPUNKT","ВЫБЕРИТЕ ТОЧКУ ВОЗРОЖДЕНИЯ","WYBIERZ SWÓJ PUNKT ODRODZENIA","VÁLASSZA KI A RESPAWN PONTOT","SCEGLI IL TUO RESPAWN POINT","ELIGE TU PUNTO DE REAPARICIÓN","CHOISISSEZ VOTRE POINT DE RÉAPPARITION","选择你的重生点","あなたのリスポーンポイントを選択してください","ESCOLHA O SEU PONTO DE RESPAWN","选择你的重生点",
"STR_TERJESTARTSCREEN_PAGE_MAP_TITLE1","RESPAWN POINTS","RESPAWN POINTS","RESPAWN BODY","RESPAWN-PUNKTE","ТОЧКИ ВОЗРОЖДЕНИЯ","PUNKTY ODRODZENIA","RESPAWN PONTOK","PUNTI DI RESPAWN","PUNTOS DE REAPARICIÓN","POINTS DE RÉAPPARITION","设备组一览表","リスポーンポイント","PONTOS DE REAPARECIMENTO","设备组一览表",
"STR_TERJESTARTSCREEN_SOUL_ADD","The number of character's souls has been increased to","The number of character's souls has been increased to","Počet duší postavy se zvýšil na","Die Anzahl der Seelen des Charakters wurde auf erhöht","Количество душ персонажа увеличено до","Liczba dusz postaci została zwiększona do","A karakter lelkének száma nőtt","Il numero di anime del personaggio è aumentato a","El número de almas del personaje ha aumentado a","Le nombre d'âmes du personnage a été augmenté à","角色的灵魂数量增加到","キャラクターの魂の数がに増加しました","Número de Almas do personagem aumentado para","角色的灵魂数量增加到",
"STR_TERJESTARTSCREEN_SOUL_REM","The number of character's souls has been reduced to","The number of character's souls has been reduced to","Počet duší se snížil na","Die Anzahl der Seelen des Charakters wurde auf verringert","Количество душ персонажа уменьшено до","Liczba dusz postaci została zmniejszona do","A karakter lelkeinek száma csökkent","Il numero di anime del personaggio è ridotto a","El número de almas del personaje se ha reducido a","Le nombre d'âmes du personnage est réduit à","角色的灵魂数量已经减少到","キャラクターの魂の数は次のように減少しました","Número de Almas do personagem reduzido para","角色的灵魂数量已经减少到",
"STR_TERJESTARTSCREEN_SOUL_TITLE","YOUR SOULS","YOUR SOULS","VAŠE DUŠE","EURE SEELEN","ВАШИ ДУШИ","WASZE DUSZE","LELKETEK","LE TUE ANIME","TUS ALMAS","VOS ÂMES","你的灵魂","あなたの魂","SUAS ALMAS","你的灵魂",
"STR_TERJESTARTSCREEN_OVERVIEW_TITLE","YOUR CHARACTER","YOUR CHARACTER","VAŠE POSTAVA","DEIN CHARAKTER","ВАШ ПЕРСОНАЖ","TWOJA POSTAĆ","A KARAKTERED","IL TUO PERSONAGGIO","TU PERSONAJE","VOTRE PERSONNAGE","你的性格","あなたのキャラクター","SEU PERSONAGEM","你的性格",
"STR_TERJESTARTSCREEN_OVERVIEW_DEL","DELETE YOUR CHARACTER (HOLD)","DELETE YOUR CHARACTER (HOLD)","ODSTRANIT SVOU POSTAVU (PODRŽTE)","ENTFERNEN SIE IHREN CHARAKTER (HALTEN)","УДАЛИТЬ ВАШЕГО ПЕРСОНАЖА (УДЕРЖИВАЙТЕ)","USUŃ SWOJĄ POSTAĆ (PRZYTRZYMAJ)","KARAKTER TÖRLÉSE (HOLD)","RIMUOVI IL TUO PERSONAGGIO (TIENI PREMUTO)","ELIMINAR A TU PERSONAJE (ESPERA)","SUPPRIMER VOTRE PERSONNAGE (MAINTENEZ)","删除你的角色（HOLD）","キャラクターを削除する（保留）","REMOVER SEU PERSONAGEM (SEGURE)","删除你的角色（HOLD）",
"STR_TERJESTARTSCREEN_SOUL_ZERO","Your character will be permanently deleted.","Your character will be permanently deleted.","Vaše postava bude navždy odstraněna.","Dein Charakter wird für immer gelöscht.","Ваш персонаж будет удален навсегда.","Twoja postać zostanie trwale usunięta.","A karaktered véglegesen törlődik.","Il tuo personaggio verrà eliminato definitivamente.","Tu personaje será eliminado para siempre.","Votre personnage sera supprimé pour toujours.","您的角色将被永久删除。","あなたのキャラクターは完全に削除されます。","Seu personagem será removido para sempre.","您的角色将被永久删除。",
